Movie Name,Director
Parasite (2019) ,Bong Joon Ho
Uncut Gems (2019) ,Benny Safdie
Uncut Gems (2019) ,Josh Safdie
Portrait of a Lady on Fire (2019) ,Céline Sciamma
Midsommar (2019) ,Ari Aster
Joker (2019) ,Todd Phillips
The Farewell (2019) ,Lulu Wang
First Love (2019) ,Takashi Miike
Waves (2019) ,Trey Edward Shults
Les Misérables (2019) ,Ladj Ly
Le Mans '66 (2019) ,James Mangold
Marriage Story (2019) ,Noah Baumbach
Hotel Mumbai (2018) ,Anthony Maras
System Crasher (2019) ,Nora Fingscheidt
El Camino: A Breaking Bad Movie (2019) ,Vince Gilligan
The Peanut Butter Falcon (2019) ,Tyler Nilson
The Peanut Butter Falcon (2019) ,Michael Schwartz
I Lost My Body (2019) ,Jérémy Clapin
The Irishman (2019) ,Martin Scorsese
1917 (2019) ,Sam Mendes
Ad Astra (2019) ,James Gray
Doctor Sleep (2019) ,Mike Flanagan
Just Mercy (2019) ,Destin Daniel Cretton
The Nightingale (2018) ,Jennifer Kent
The Art of Self-Defense (2019) ,Riley Stearns
Shazam! (2019) ,David F. Sandberg
Honey Boy (2019) ,Alma Har'el
Dolemite Is My Name (2019) ,Craig Brewer
"Love, Antosha (2019) ",Garret Price
Queen & Slim (2019) ,Melina Matsoukas
Arctic (2018) ,Joe Penna
Furie (2019) ,Le-Van Kiet
The Lighthouse (2019) ,Robert Eggers
Triple Frontier (2019) ,J.C. Chandor
Richard Jewell (2019) ,Clint Eastwood
Little Monsters (2019) ,Abe Forsythe
Luce (2019) ,Julius Onah
The King (2019) ,David Michôd
Come to Daddy (2019) ,Ant Timpson
Monos (2019) ,Alejandro Landes
Us (2019) ,Jordan Peele
Knives Out (2019) ,Rian Johnson
Villains (2019) ,Dan Berk
Villains (2019) ,Robert Olsen
Spider-Man: Far from Home (2019) ,Jon Watts
Avengers: Endgame (2019) ,Anthony Russo
Avengers: Endgame (2019) ,Joe Russo
High Flying Bird (2019) ,Steven Soderbergh
I Am Mother (2019) ,Grant Sputore
Fighting with My Family (2019) ,Stephen Merchant
Booksmart (2019) ,Olivia Wilde
John Wick: Chapter 3 - Parabellum (2019) ,Chad Stahelski
Godzilla: King of the Monsters (2019) ,Michael Dougherty
Always Be My Maybe (2019) ,Nahnatchka Khan
Avengers: Infinity War (2018) ,Anthony Russo
Avengers: Infinity War (2018) ,Joe Russo
The Favourite (2018) ,Yorgos Lanthimos
Eighth Grade (2018) ,Bo Burnham
A Star Is Born (2018) ,Bradley Cooper
Hereditary (2018) ,Ari Aster
A Quiet Place (2018) ,John Krasinski
BlacKkKlansman (2018) ,Spike Lee
Mission: Impossible - Fallout (2018) ,Christopher McQuarrie
Spider-Man: Into the Spider-Verse (2018) ,Bob Persichetti
Spider-Man: Into the Spider-Verse (2018) ,Peter Ramsey
Spider-Man: Into the Spider-Verse (2018) ,1 more credit
Aquaman (2018) ,James Wan
Bad Times at the El Royale (2018) ,Drew Goddard
If Beale Street Could Talk (2018) ,Barry Jenkins
Deadpool 2 (2018) ,David Leitch
Beautiful Boy (2018) ,Felix van Groeningen
Vice (2018) ,Adam McKay
First Reformed (2017) ,Paul Schrader
Blindspotting (2018) ,Carlos López Estrada
Annihilation (2018) ,Alex Garland
Upgrade (2018) ,Leigh Whannell
The Incredibles 2 (2018) ,Brad Bird
Black Panther (2018) ,Ryan Coogler
The Old Man & The Gun (2018) ,David Lowery
"Don't Worry, He Won't Get Far on Foot (2018) ",Gus Van Sant
Sorry to Bother You (2018) ,Boots Riley
Mid90s (2018) ,Jonah Hill
Can You Ever Forgive Me? (2018) ,Marielle Heller
Instant Family (2018) ,Sean Anders
Ant-Man and the Wasp (2018) ,Peyton Reed
Widows (2018) ,Steve McQueen
The Mule (2018) ,Clint Eastwood
You Were Never Really Here (2017) ,Lynne Ramsay
Boy Erased (2018) ,Joel Edgerton
Ben Is Back (2018) ,Peter Hedges
Bird Box (2018) ,Susanne Bier
Sicario 2: Soldado (2018) ,Stefano Sollima
"Love, Simon (2018) ",Greg Berlanti
Green Book (2018) ,Peter Farrelly
Creed II (2018) ,Steven Caple Jr.
White Boy Rick (2018) ,Yann Demange
Hostiles (2017) ,Scott Cooper
Bohemian Rhapsody (2018) ,Bryan Singer
Ready Player One (2018) ,Steven Spielberg
Game Night (2018) ,John Francis Daley
Game Night (2018) ,Jonathan Goldstein
Mandy (2018) ,Panos Cosmatos
Solo: A Star Wars Story (2018) ,Ron Howard
The Meg (2018) ,Jon Turteltaub
Tag (2018) ,Jeff Tomsic
Blockers (2018) ,Kay Cannon
Mile 22 (2018) ,Peter Berg
"Three Billboards Outside Ebbing, Missouri (2017) ",Martin McDonagh
Get Out (2017) ,Jordan Peele
The Florida Project (2017) ,Sean Baker
John Wick: Chapter 2 (2017) ,Chad Stahelski
Lady Bird (2017) ,Greta Gerwig
The Shape of Water (2017) ,Guillermo del Toro
Mother! (2017) ,Darren Aronofsky
Good Time (2017) ,Benny Safdie
Good Time (2017) ,Josh Safdie
Split (2016) ,M. Night Shyamalan
Logan (2017) ,James Mangold
Call Me by Your Name (2017) ,Luca Guadagnino
Brawl in Cell Block 99 (2017) ,S. Craig Zahler
Star Wars: Episode VIII - The Last Jedi (2017) ,Rian Johnson
The Disaster Artist (2017) ,James Franco
Blade Runner 2049 (2017) ,Denis Villeneuve
War for the Planet of the Apes (2017) ,Matt Reeves
Thor: Ragnarok (2017) ,Taika Waititi
Baby Driver (2017) ,Edgar Wright
Logan Lucky (2017) ,Steven Soderbergh
Detroit (2017) ,Kathryn Bigelow
Ingrid Goes West (2017) ,Matt Spicer
American Made (2017) ,Doug Liman
Dunkirk (2017) ,Christopher Nolan
"I, Tonya (2017) ",Craig Gillespie
Wind River (2017) ,Taylor Sheridan
Spider-Man: Homecoming (2017) ,Jon Watts
The Big Sick (2017) ,Michael Showalter
Jumanji: Welcome to the Jungle (2017) ,Jake Kasdan
Colossal (2016) ,Nacho Vigalondo
Wonder (2017) ,Stephen Chbosky
The Killing of a Sacred Deer (2017) ,Yorgos Lanthimos
The Meyerowitz Stories (2017) ,Noah Baumbach
Battle of the Sexes (2017) ,Jonathan Dayton
Battle of the Sexes (2017) ,Valerie Faris
War Machine (2017) ,David Michôd
The Beguiled (2017) ,Sofia Coppola
It (2017) ,Andy Muschietti
Brad's Status (2017) ,Mike White
Stronger (2017) ,David Gordon Green
Patti Cake$ (2017) ,Geremy Jasper
Guardians of the Galaxy: Vol. 2 (2017) ,James Gunn
The Lego Batman Movie (2017) ,Chris McKay
Atomic Blonde (2017) ,David Leitch
Wakefield (2016) ,Robin Swicord
Beauty and the Beast (2017) ,Bill Condon
Brigsby Bear (2017) ,Dave McCary
Kong: Skull Island (2017) ,Jordan Vogt-Roberts
Alien: Covenant (2017) ,Ridley Scott
Goodbye Christopher Robin (2017) ,Simon Curtis
Victoria & Abdul (2017) ,Stephen Frears
Suburbicon (2017) ,George Clooney
Captain Fantastic (2016) ,Matt Ross
La La Land (2016) ,Damien Chazelle
Hacksaw Ridge (2016) ,Mel Gibson
Lion (2016) ,Garth Davis
Hell or High Water (2016) ,David Mackenzie
The Witch (2015) ,Robert Eggers
The Jungle Book (2016) ,Jon Favreau
Deadpool (2016) ,Tim Miller
Moonlight (2016) ,Barry Jenkins
Other People (2016) ,Chris Kelly
Zootropolis (2016) ,Byron Howard
Zootropolis (2016) ,Rich Moore
Zootropolis (2016) ,1 more credit
Nocturnal Animals (2016) ,Tom Ford
Train to Busan (2016) ,Sang-ho Yeon
Don't Breathe (2016) ,Fede Alvarez
Sing Street (2016) ,John Carney
Doctor Strange (2016) ,Scott Derrickson
The Conjuring 2 (2016) ,James Wan
The Distinguished Citizen (2016) ,Gastón Duprat
The Distinguished Citizen (2016) ,Mariano Cohn
Your Name. (2016) ,Makoto Shinkai
Maudie (2016) ,Aisling Walsh
Miss Peregrine's Home for Peculiar Children (2016) ,Tim Burton
Eddie the Eagle (2015) ,Dexter Fletcher
Elle (2016) ,Paul Verhoeven
Julieta (2016) ,Pedro Almodóvar
Manchester by the Sea (2016) ,Kenneth Lonergan
Dangal (2016) ,Nitesh Tiwari
10 Cloverfield Lane (2016) ,Dan Trachtenberg
Hidden Figures (2016) ,Theodore Melfi
Florence Foster Jenkins (2016) ,Stephen Frears
The Invisible Guest (2016) ,Oriol Paulo
I'm Gilda (2016) ,Lorena Muñoz
Deepwater Horizon (2016) ,Peter Berg
The Edge of Seventeen (2016) ,Kelly Fremon Craig
The Magnificent Seven (2016) ,Antoine Fuqua
The Shallows (2016) ,Jaume Collet-Serra
X-Men: Apocalypse (2016) ,Bryan Singer
Hush (2016) ,Mike Flanagan
Captain America: Civil War (2016) ,Anthony Russo
Captain America: Civil War (2016) ,Joe Russo
