Movie Name,Movie Stars
Parasite (2019) ,Song Kang-Ho
Parasite (2019) ,Lee Sun-kyun
Parasite (2019) ,Cho Yeo-jeong
Uncut Gems (2019) ,Adam Sandler
Uncut Gems (2019) ,Julia Fox
Uncut Gems (2019) ,Idina Menzel
Portrait of a Lady on Fire (2019) ,Noémie Merlant
Portrait of a Lady on Fire (2019) ,Adèle Haenel
Portrait of a Lady on Fire (2019) ,Luàna Bajrami
Midsommar (2019) ,Florence Pugh
Midsommar (2019) ,Jack Reynor
Midsommar (2019) ,Vilhelm Blomgren
Joker (2019) ,Joaquin Phoenix
Joker (2019) ,Robert De Niro
Joker (2019) ,Zazie Beetz
The Farewell (2019) ,Shuzhen Zhao
The Farewell (2019) ,Awkwafina
The Farewell (2019) ,X Mayo
First Love (2019) ,Becky
First Love (2019) ,Bengal
First Love (2019) ,Masayuki Deai
Waves (2019) ,Kelvin Harrison Jr.
Waves (2019) ,Lucas Hedges
Waves (2019) ,Taylor Russell
Les Misérables (2019) ,Damien Bonnard
Les Misérables (2019) ,Alexis Manenti
Les Misérables (2019) ,Djebril Zonga
Le Mans '66 (2019) ,Matt Damon
Le Mans '66 (2019) ,Christian Bale
Le Mans '66 (2019) ,Jon Bernthal
Marriage Story (2019) ,Adam Driver
Marriage Story (2019) ,Scarlett Johansson
Marriage Story (2019) ,Julia Greer
Hotel Mumbai (2018) ,Dev Patel
Hotel Mumbai (2018) ,Armie Hammer
Hotel Mumbai (2018) ,Nazanin Boniadi
System Crasher (2019) ,Helena Zengel
System Crasher (2019) ,Albrecht Schuch
System Crasher (2019) ,Gabriela Maria Schmeide
El Camino: A Breaking Bad Movie (2019) ,Aaron Paul
El Camino: A Breaking Bad Movie (2019) ,Jonathan Banks
El Camino: A Breaking Bad Movie (2019) ,Matt Jones
The Peanut Butter Falcon (2019) ,Zack Gottsagen
The Peanut Butter Falcon (2019) ,Ann Owens
The Peanut Butter Falcon (2019) ,Dakota Johnson
I Lost My Body (2019) ,Hakim Faris
I Lost My Body (2019) ,Victoire Du Bois
I Lost My Body (2019) ,Patrick d'Assumçao
The Irishman (2019) ,Robert De Niro
The Irishman (2019) ,Al Pacino
The Irishman (2019) ,Joe Pesci
1917 (2019) ,Dean-Charles Chapman
1917 (2019) ,George MacKay
1917 (2019) ,Daniel Mays
Ad Astra (2019) ,Brad Pitt
Ad Astra (2019) ,Tommy Lee Jones
Ad Astra (2019) ,Ruth Negga
Doctor Sleep (2019) ,Ewan McGregor
Doctor Sleep (2019) ,Rebecca Ferguson
Doctor Sleep (2019) ,Kyliegh Curran
Just Mercy (2019) ,Michael B. Jordan
Just Mercy (2019) ,Jamie Foxx
Just Mercy (2019) ,Brie Larson
The Nightingale (2018) ,Aisling Franciosi
The Nightingale (2018) ,Baykali Ganambarr
The Nightingale (2018) ,Damon Herriman
The Art of Self-Defense (2019) ,Jesse Eisenberg
The Art of Self-Defense (2019) ,Alessandro Nivola
The Art of Self-Defense (2019) ,Imogen Poots
Shazam! (2019) ,Zachary Levi
Shazam! (2019) ,Mark Strong
Shazam! (2019) ,Asher Angel
Honey Boy (2019) ,Shia LaBeouf
Honey Boy (2019) ,Lucas Hedges
Honey Boy (2019) ,Noah Jupe
Dolemite Is My Name (2019) ,Eddie Murphy
Dolemite Is My Name (2019) ,Keegan-Michael Key
Dolemite Is My Name (2019) ,Mike Epps
"Love, Antosha (2019) ",Anton Yelchin
"Love, Antosha (2019) ",J.J. Abrams
"Love, Antosha (2019) ",Sofia Boutella
Queen & Slim (2019) ,Daniel Kaluuya
Queen & Slim (2019) ,Jodie Turner-Smith
Queen & Slim (2019) ,Bokeem Woodbine
Arctic (2018) ,Mads Mikkelsen
Arctic (2018) ,Maria Thelma Smáradóttir
Arctic (2018) ,Tintrinai Thikhasuk
Furie (2019) ,Veronica Ngo
Furie (2019) ,Mai Cát Vi
Furie (2019) ,Thanh Nhien Phan
The Lighthouse (2019) ,Robert Pattinson
The Lighthouse (2019) ,Willem Dafoe
The Lighthouse (2019) ,Valeriia Karaman
Triple Frontier (2019) ,Ben Affleck
Triple Frontier (2019) ,Oscar Isaac
Triple Frontier (2019) ,Charlie Hunnam
Richard Jewell (2019) ,Paul Walter Hauser
Richard Jewell (2019) ,Sam Rockwell
Richard Jewell (2019) ,Brandon Stanley
Little Monsters (2019) ,Lupita Nyong'o
Little Monsters (2019) ,Alexander England
Little Monsters (2019) ,Josh Gad
Luce (2019) ,Naomi Watts
Luce (2019) ,Octavia Spencer
Luce (2019) ,Kelvin Harrison Jr.
The King (2019) ,Tom Glynn-Carney
The King (2019) ,Gábor Czap
The King (2019) ,Tom Fisher
Come to Daddy (2019) ,Elijah Wood
Come to Daddy (2019) ,Stephen McHattie
Come to Daddy (2019) ,Garfield Wilson
Monos (2019) ,Sofia Buenaventura
Monos (2019) ,Julián Giraldo
Monos (2019) ,Karen Quintero
Us (2019) ,Lupita Nyong'o
Us (2019) ,Winston Duke
Us (2019) ,Elisabeth Moss
Knives Out (2019) ,Daniel Craig
Knives Out (2019) ,Chris Evans
Knives Out (2019) ,Ana de Armas
Villains (2019) ,Bill Skarsgård
Villains (2019) ,Maika Monroe
Villains (2019) ,Blake Baumgartner
Spider-Man: Far from Home (2019) ,Tom Holland
Spider-Man: Far from Home (2019) ,Samuel L. Jackson
Spider-Man: Far from Home (2019) ,Jake Gyllenhaal
Avengers: Endgame (2019) ,Robert Downey Jr.
Avengers: Endgame (2019) ,Chris Evans
Avengers: Endgame (2019) ,Mark Ruffalo
High Flying Bird (2019) ,André Holland
High Flying Bird (2019) ,Melvin Gregg
High Flying Bird (2019) ,Eddie Tavares
I Am Mother (2019) ,Rose Byrne
I Am Mother (2019) ,Maddie Lenton
I Am Mother (2019) ,Luke Hawker
Fighting with My Family (2019) ,Dwayne Johnson
Fighting with My Family (2019) ,Lena Headey
Fighting with My Family (2019) ,Vince Vaughn
Booksmart (2019) ,Kaitlyn Dever
Booksmart (2019) ,Beanie Feldstein
Booksmart (2019) ,Jessica Williams
John Wick: Chapter 3 - Parabellum (2019) ,Keanu Reeves
John Wick: Chapter 3 - Parabellum (2019) ,Halle Berry
John Wick: Chapter 3 - Parabellum (2019) ,Ian McShane
Godzilla: King of the Monsters (2019) ,Kyle Chandler
Godzilla: King of the Monsters (2019) ,Vera Farmiga
Godzilla: King of the Monsters (2019) ,Millie Bobby Brown
Always Be My Maybe (2019) ,Ali Wong
Always Be My Maybe (2019) ,Randall Park
Always Be My Maybe (2019) ,James Saito
Avengers: Infinity War (2018) ,Robert Downey Jr.
Avengers: Infinity War (2018) ,Chris Hemsworth
Avengers: Infinity War (2018) ,Mark Ruffalo
The Favourite (2018) ,Olivia Colman
